self.step_no	last_rec.is_hi	last_rec.is_hi_is_random	last_rec.d_sum	last_rec.d_sqr_sum	last_rec.n	self.evaluation_start_index	n[0]	n[1]	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
60	True	False	-0.31736302375793457	1.8008084176229318	10	58	1	1	0.6360249519348145	-0.31736302375793457	0.40452773948368304	0.10071928884877934	None	None	None	None	None	None
61	False	True	1.6867574453353882	3.9899522274081534	10	58	2	1	2.3227823972702026	-0.31736302375793457	3.249678418878048	0.10071928884877934	None	None	None	None	None	None
62	True	False	-0.19245076179504395	3.195540090308924	10	58	2	2	2.3227823972702026	-0.5098137855529785	3.249678418878048	0.1377565845642721	0	0.11379689114846989	1.1613911986351013	-0.25490689277648926	0.5253662467002869	0.06245613098144531
63	False	True	0.5355561971664429	4.016711989819143	10	58	3	2	2.8583385944366455	-0.5098137855529785	3.53649885920143	0.1377565845642721	None	None	None	None	None	None
64	True	False	-1.5645406246185303	2.2126325946215673	10	58	3	3	2.8583385944366455	-2.074354410171509	3.53649885920143	2.585543950646013	-1	0.03193076028988644	0.9527795314788818	-0.6914514700571696	0.3681332078623346	0.43803130487697456
65	True	True	0.15459978580474854	0.8877565422097433	10	66	0	1	0	0.15459978580474854	0	0.023901093770874127	None	None	None	None	None	None
66	False	False	-1.1495996713638306	1.7871446624508422	10	66	1	0	-1.1495996713638306	0	1.3215794043998272	0	None	None	None	None	None	None
67	False	True	1.819970726966858	1.6075351508404339	10	66	1	0	1.819970726966858	0	3.3122934470162733	0	None	None	None	None	None	None
68	True	False	-0.6059476137161255	2.6824299940311533	10	66	1	1	1.819970726966858	-0.6059476137161255	3.3122934470162733	0.36717251056826683	None	None	None	None	None	None
69	True	True	0.6507037878036499	1.4059323146026799	10	66	1	2	1.819970726966858	0.044756174087524414	3.3122934470162733	0.7905879300302843	None	None	None	None	None	None
70	False	False	-0.21702134609222412	1.735544971776946	10	66	2	2	1.6029493808746338	0.044756174087524414	3.359391711675954	0.7905879300302843	0	0.3163038682101378	0.8014746904373169	0.022378087043762207	1.018496036529541	0.6283257007598877
71	True	True	-0.30955183506011963	2.4896916259573203	10	66	2	3	1.6029493808746338	-0.2647956609725952	3.359391711675954	0.8864102686193718	None	None	None	None	None	None
72	False	False	-0.7935446500778198	1.4256212706314528	10	66	3	3	0.809404730796814	-0.2647956609725952	3.9891048233430837	0.8864102686193718	0	0.36157578777743843	0.2698015769322713	-0.08826522032419841	0.7927511327225863	0.3792620073385359
73	True	True	0.775478720664978	0.9621976963127992	10	66	3	4	0.809404730796814	0.5106830596923828	3.9891048233430837	1.4877775148235628	None	None	None	None	None	None
74	False	False	-1.2840036153793335	0.7836897890216648	10	66	4	4	-0.47459888458251953	0.5106830596923828	5.637770107650283	1.4877775148235628	0	0.3816428184370688	-0.11864972114562988	0.1276707649230957	0.6819982332784142	0.3443082700574406
75	False	True	0.7785642147064209	0.9249493389242502	10	66	5	4	0.30396533012390137	0.5106830596923828	6.243932344071709	1.4877775148235628	None	None	None	None	None	None
76	True	False	0.2131059169769287	1.7206489326717076	10	66	5	5	0.30396533012390137	0.7237889766693115	6.243932344071709	1.5331916466741404	0	0.4486655209092216	0.060793066024780275	0.1447577953338623	0.5579181552740617	0.2672468475141043
77	False	True	0.20581984519958496	1.9263037910398282	10	66	6	5	0.5097851753234863	0.7237889766693115	6.28629415274969	1.5331916466741404	None	None	None	None	None	None
78	True	False	0.495713472366333	0.7943120964524155	10	66	6	6	0.5097851753234863	1.2195024490356445	6.28629415274969	1.7789234933596276	0	0.411450835026928	0.08496419588724773	0.20325040817260742	0.45617908271690444	0.22590994686863158
79	False	True	-0.29718756675720215	0.4153810154835469	10	66	7	6	0.21259760856628418	1.2195024490356445	6.3746146025847565	1.7789234933596276	None	None	None	None	None	None
80	True	False	-1.4595999717712402	1.0359676217028664	10	66	7	7	0.21259760856628418	-0.2400975227355957	6.3746146025847565	3.909355570954233	0	0.44915276786745845	0.0303710869380406	-0.0342996461050851	0.3893877300795189	0.3047684644546419
81	True	True	1.3674606084823608	2.5263635349752036	10	66	7	8	0.21259760856628418	1.1273630857467651	6.3746146025847565	5.7793040867051815	None	None	None	None	None	None
82	False	False	0.430830717086792	2.407385701520951	10	66	8	8	0.6434283256530762	1.1273630857467651	6.560229709370276	5.7793040867051815	0	0.4492855847078281	0.08042854070663452	0.14092038571834564	0.3409147282388297	0.3168042333156777
83	True	True	0.062128424644470215	1.3999113616410597	10	66	8	9	0.6434283256530762	1.1894915103912354	6.560229709370276	5.783164027853985	None	None	None	None	None	None
84	False	False	0.33619117736816406	1.480318267042577	10	66	9	9	0.9796195030212402	1.1894915103912354	6.673254217110468	5.783164027853985	0	0.4777791968113247	0.10884661144680446	0.13216572337680393	0.301998573251307	0.2795321990480147
85	False	True	-1.3542580604553223	1.811168512199771	10	66	10	9	-0.37463855743408203	1.1894915103912354	8.50726911141868	5.783164027853985	None	None	None	None	None	None
86	True	False	0.8395613431930542	1.0257152160159677	10	66	10	10	-0.37463855743408203	2.0290528535842896	8.50726911141868	6.48802727683811	0	0.2790520758302916	-0.0374638557434082	0.20290528535842894	0.3071958062963724	0.25983588257407264
