self.step_no	last_rec.d_sum_lo	last_rec.d_sqr_sum_lo	last_rec.d_sum_hi	last_rec.d_sqr_sum_hi	last_rec.n	self.evaluation_start_index	n	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
47	0.045107126235961914	0.020652980113993635	0.05214834213256836	0.020444322775801993	10	0	48	18.154284834861755	18.21369993686676	16.43724796251557	16.451235827544437	0	0.4945018673012861	0.3631550986716088	0.36441924977809825	0.06473251726262563	0.06462796450606753
48	0.28829097747802734	0.02047796150054637	0.2935159206390381	0.02059994689824407	10	0	49	18.442575812339783	18.5072158575058	16.520359650210807	16.53738742321302	0	0.49401841179730954	0.36159542948007584	0.36294209708770114	0.06338876537824589	0.0632844651929685
49	-0.12275385856628418	0.024945052686973668	-0.11918926239013672	0.024988714551454905	10	0	50	18.3198219537735	18.38802659511566	16.53542816000372	16.551593503482124	0	0.4937651556878677	0.35171075013219094	0.35310268158815344	0.06286363756789169	0.06275564807575396
50	0.06470751762390137	0.01765045363418949	0.06818413734436035	0.01779215885864005	10	0	51	18.3845294713974	18.456210732460022	16.539615222840766	16.55624258006752	0	0.4934737723559721	0.34597068548202514	0.3474043107032776	0.061860421865071666	0.06175121004104428
51	-0.11526346206665039	0.016366411833928396	-0.11164999008178711	0.01619976869869788	10	0	52	18.26926600933075	18.344560742378235	16.552900888528356	16.56870830035278	0	0.49321788152545964	0.3369268786673452	0.33840324598200183	0.06130607723444636	0.06119389989576072
52	0.20430636405944824	0.010518210083375834	0.21138668060302734	0.010782582588944933	10	0	53	18.473572373390198	18.555947422981262	16.594641978923548	16.613392629089148	0	0.49258480621057354	0.3343764841556549	0.33596061972471386	0.06016963039325835	0.06005525071842089
53	0.35854458808898926	0.09206575918068438	0.36036109924316406	0.09265896455497113	10	0	54	18.832116961479187	18.916308522224426	16.72319620057145	16.74325275093689	0	0.4924197710238224	0.3348324861166612	0.33642100613072234	0.05902519868147053	0.05891303532126783
54	0.05219721794128418	0.003973460478903235	0.05924797058105469	0.004202288195301662	10	0	55	18.88431417942047	18.97555649280548	16.72592075013226	16.746763072954863	0	0.4918159638802096	0.32959849966896904	0.3312881721390618	0.05815782506685888	0.05803917278334019
55	0.09192323684692383	0.02959522829451089	0.09549760818481445	0.029799705123537024	10	0	56	18.976237416267395	19.071054100990295	16.734370631604676	16.755882866123883	0	0.49151768848861577	0.32527713125402274	0.3270010709762573	0.05725393373522482	0.05713521022368393
56	0.019687175750732422	0.007346200172719364	0.024872541427612305	0.007222020949768648	10	0	57	18.995924592018127	19.095926642417908	16.734758216493717	16.75650150944095	0	0.49109348244223966	0.31982016776289257	0.3216059186628887	0.056486454025807833	0.05636446619825155
57	-0.06561493873596191	0.010320045757396201	-0.060292959213256836	0.010183597962793556	10	0	58	18.930309653282166	19.03563368320465	16.73906353667904	16.760136750371643	0	0.49068610792455364	0.313058148350632	0.31490593834927205	0.055897131636361536	0.055770697944181394
58	-0.12298846244812012	0.004406161974827683	-0.11238288879394531	0.004070074071819363	10	0	59	18.807321190834045	18.923250794410706	16.754189698574393	16.772766664065315	0	0.4898395151758569	0.3055401033368604	0.3075388896054235	0.055437075272681664	0.055293670457028744
59	-0.07558608055114746	0.008029181917379447	-0.07210922241210938	0.007738527717378929	10	0	60	18.731735110282898	18.851141571998596	16.759902954147478	16.777966404022195	0	0.4896055803476652	0.2990803375082501	0.30110417584241445	0.05487093281974665	0.054728011064625694
60	0.08641588687896729	0.00828381133187861	0.0908588171005249	0.008398450203074503	10	0	61	18.818150997161865	18.94200038909912	16.767370659652556	16.7862217286671	0	0.48923995386128183	0.29553592999776207	0.29760008653004966	0.05406497434407896	0.0539221228300206
61	0.31798815727233887	0.02925113423981429	0.3233497142791748	0.029637924311202823	10	0	62	19.136139154434204	19.265350103378296	16.868487127818014	16.890776766391525	0	0.48877261298004826	0.2959039992973453	0.29802221157511727	0.05317255078473924	0.05303246671244904
62	0.0958700180053711	0.031863903572798336	0.1010749340057373	0.031763308486404185	10	0	63	19.232009172439575	19.366425037384033	16.877678188170364	16.90099290867579	0	0.4883403713534642	0.29267764476037794	0.29484564258206275	0.052407305259124466	0.052266711812928454
63	0.1917184591293335	0.024486643530124752	0.1952728033065796	0.024611230387975525	10	0	64	19.42372763156891	19.561697840690613	16.91443415574129	16.939124376387	0	0.4880359008589218	0.2910751180043296	0.29326512132372173	0.051593627961450686	0.05145467044640096
64	-0.09544920921325684	0.007082524862255468	-0.09278309345245361	0.006921756591921735	10	0	65	19.328278422355652	19.46891474723816	16.923544707280726	16.947733078817606	0	0.48788830177834086	0.28503567539155483	0.287233117967844	0.051138956401681375	0.051002266645926456
65	-0.17678678035736084	0.00648522216881986	-0.1653505563735962	0.006113525130857056	10	0	66	19.15149164199829	19.303564190864563	16.954798272989848	16.975073885310664	0	0.4870280313549433	0.2779307145338792	0.28027029220874494	0.050844919686924166	0.05069195461218518
66	-0.06611323356628418	0.010594086524690738	-0.05548810958862305	0.010538140982248478	10	0	67	19.085378408432007	19.24807608127594	16.959169232642438	16.978152815616383	0	0.48619303445829193	0.2727179274414525	0.2751830436966636	0.05033924349637278	0.05017654275440841
67	0.14336895942687988	0.004770051654702456	0.14861321449279785	0.004803328287891873	10	0	68	19.228747367858887	19.396689295768738	16.979723891169584	17.000238703138265	0	0.48575671705843354	0.2707873458292947	0.2732939417682477	0.04961979053679954	0.04945805656861231
68	-0.23575258255004883	0.027504922678645016	-0.22956109046936035	0.02720471182141182	10	0	69	18.992994785308838	19.167128205299377	17.035303171348602	17.052936997395747	0	0.48539759480747807	0.26333822923548084	0.265899014823577	0.049448938821416745	0.04928326496135329
69	-0.02051711082458496	0.006190527653700428	-0.015195131301879883	0.005983275091750784	10	0	70	18.972477674484253	19.151933073997498	17.03572412318519	17.05316788941103	0	0.4850024622573084	0.2592243837273639	0.26182518661886023	0.048900367934282124	0.04873433200653217
70	0.03922867774963379	0.01029541600092898	0.04277372360229492	0.010298509417339119	10	0	71	19.011706352233887	19.194706797599792	17.037263012343175	17.054997480841834	0	0.4847366903771033	0.25608158792768204	0.25869588000433785	0.0482990873176192	0.0481349096793134
71	0.03641557693481445	0.02012174985702586	0.04355454444885254	0.020459743032517963	10	0	72	19.0481219291687	19.238261342048645	17.03858910658667	17.05689447918398	0	0.48417232814670663	0.2529877004489093	0.2556657203486268	0.04771437150041579	0.047548760762562925
